department,code,number,title,description,url
African and African-American Studies,AAAS,20.50,"Lest We Forget: History, Collective Memory and Slavery at Dartmouth","Beyond noting that Wheelock owned slaves, little is known of Dartmouth's other historical connections, if any, to the institution of slavery.   This research seminar investigates the college's economic entanglement in the trade and slaveholding; as a site for the intellectual legitimation and contestation of slavery; and the contributions of enslaved persons to its development. We will also review the origins, findings and responses to similar collective memory projects at other institutions including Brown, Emory and Yale.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-20-50
African and African-American Studies,AAAS,21,Racial Justice,"This course introduces students to major contemporary racial justice debates. It also considers how theories of racial justice might better include the concerns of women of color as well as LGBT and trans persons of color. Throughout the course we will examine questions such as: What constitutes racial injustice? How is gender implicated in said injustice? What, if anything, do blacks and other people of color owe to one another? Should political possibility and pragmatism bound thinking regarding corrective racial justice?",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-21
African and African-American Studies,AAAS,21.10,"Race and Modernity: W.E.B. DuBois, James Baldwin, Lorraine Hansberry","This course will examine the classical works of three towering modern intellectuals: W.E.B. Du Bois, James Baldwin, and Lorraine Hansberry. We will wrestle with the rich formulations, subtle arguments, and courageous visions of three Black thinkers who continue to speak with power and passion to our turbulent times.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-21-10
African and African-American Studies,AAAS,21.50,"The Color Line, Lynching and the Black Public Sphere: Social & Political Thought of Ida Wells & DuBois",This course will explore the black public sphere through close readings of the writings of W.E.B. Du Bois and Ida B. Wells as well as secondary source material on these thinkers as well as the black public sphere itself.,http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-21-50
African and African-American Studies,AAAS,21.75,Black Political Thought,"This course will explore the black political thought from the antebellum period through the middle of the twentieth century. The course will include the political writings of major black political thinkers such as Frederick Douglass, Harriet Jacobs, Booker T. Washington, W. E. B. Du Bois, Ida B Wells, Martin Luther King, Jr. and Ella Baker as well as secondary source material on these thinkers.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-21-75
African and African-American Studies,AAAS,22,Religion and the Civil Rights Movement,"This course presents the religious dimensions of civil rights activism in twentieth-century United States history.  Students will explore the theologies of African American Protestants, liberal religious thinkers, and adherents to Gandhian philosophy as they waged nonviolent struggle against Jim Crow oppression in the United States.  In-class discussions and exercises will examine the religious rhetoric and creative protest strategies of movement activists.  Open to all.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-22
African and African-American Studies,AAAS,22.10,African American Religion and Culture in Jim Crow America,"Jim Crow segregation in the United States compelled many African American men and women to use their bodies—their hands, feet, and voices—to create sacred scenes, sounds, and spaces to articulate their existence in America. This seminar focuses on religious production to explore African American culture in the post-Civil War era. Students will analyze a variety of sources, including music, visual art, film, religious architecture, sermons, food, theater, photography, and news media. Not open to students who have received credit for AAAS 80.08.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-22-10
African and African-American Studies,AAAS,22.50,Islam in America,"Muslim Ban? Malcolm X? Enslaved Muslims? Hijab? This course is about Muslims in America, past, present, and future, and how American Islam is an extension of global Islam and the ways it is uniquely American. As we study religious identity and understandings of Islam in enslaved Muslim narratives, the civil rights movement, waves of immigration, pre- and post- 9/11, and the current Muslim ban, we pay close attention to theorizations of contested histories, race, gender, and class dynamics, intersectionality, model minorityhood, assimilation, discrimination, and Malcolm X’s visit to Dartmouth College, the history and the significance of the Malcolm X murals in the Shabazz building.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-22-50
African and African-American Studies,AAAS,23,The Black Sporting Experience,"This course examines the historical and contemporary sporting experiences primarily of Black Americans. The decision to refer to this class as a “Black” experience is deliberate, as we will briefly interrogate how race and sports functions for the Black diaspora in the Caribbean, Latin America, and Europe. Despite brief examinations of the diaspora, this class uses sports history as a critical lens to understand American history.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-23
African and African-American Studies,AAAS,24,The Black Radical Tradition in America,"This course introduces major currents in the history of black radical thought, with a particular focus on the U.S. after emancipation. This class encourages students to define and evaluate radicalism in the shifting contexts of various liberation struggles. By exploring dissenting visions of social organization and alternative definitions of citizenship and freedom as expressed through nonviolence, armed rebellion, black nationalism, Pan Africanism, socialism, communism, anticolonialism, feminism, queer theory and integrationism, students will confront the meaning of the intersection of race, gender, class and sexuality in social movements.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-24
African and African-American Studies,AAAS,24.50,Contemporary Black Political Thought and the Modern World,"In the era and “return” of mass political social movements, the question is perhaps not what is the most urgent political struggle of today; rather, what remains unheard, unseen, and unthought in the struggle for political freedom? This course seeks to familiarize students with the works of contemporary black political thinkers who have contributed to the rich theoretical developments and productive tensions in Black Studies, discourses on black resistance and freedom struggle, and political action itself. The course focuses on several key concepts—such as civic and social death, sovereignty, the collective unconscious, the radical imagination—as a way to examine notions of agency and the psychic life of racial violence, particularly in the context of the United States. What is the dream-work of Black freedom? And how do dreams of (black) freedom become realized and/or barred from larger socio-political, economic, and legal structures to the more abstract registers of language, aesthetics, culture, and the imagination? The course investigates the theoretical tenets within contemporary Black Studies as critical theory, arguing that these are equally contributive to the continental philosophical tradition on questions of life, rights, civil society, and personhood.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-24-50
African and African-American Studies,AAAS,25,Constructing Black Womanhood,"This course is a critical examination of the historical and contemporary status of black women in the United States, as presented in fiction, primary accounts, and social science literature. We will explore the nature, extent, and consequences of the multiple discriminations of race, sex, and class, as the context in which these women shaped their social roles and identities within the black community and the larger society. We will consider the themes of family, motherhood, and sexuality; educational, economic and political participation; aesthetics and religious traditions; self and social images.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-25
African and African-American Studies,AAAS,26,Toni Morrison,"This course is an in-depth study of Toni Morrison’s major fictional works. We will also read critical responses by and about the author. We will examine Morrison’s earliest and arguably most foundational and influential works. Required texts will include, The Bluest Eye, Sula, Song of Solomon, Tar Baby, Beloved, A Mercy, and Conversations with Toni Morrison. Central to our exploration will be an analysis of Morrison’s observation that “the past affects the present.” Therefore, we will explore the social and historical factors that contribute to Morrison’s artistic constructions. Some of the issues we will examine include, alternative constructions offemale community and genealogy, and representations of race, class, nationhood, and identity.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-26
African and African-American Studies,AAAS,27,Transformative Spiritual Journeys. Contemporary Memoirs of African American Religion,"This course presents African Americans who have created religious and spiritual lives amid the variety of possibilities for religious belonging in the second half of the twentieth century and the early twenty-first century. By engaging an emerging canon of autobiographies, we will take seriously the writings of theologians, religious laity, spiritual gurus, hip hop philosophers, LGBT clergy, religious minorities, and scholars of religion as foundational for considering contemporary religious authority through popular and/or institutional forms of African American religious leadership. Themes of spiritual formation and religious belonging as a process—healing, self-making, writing, growing up, renouncing, dreaming, and liberating—characterize the religious journeys of the African American writers, thinkers, and leaders whose works we will examine. Each weekly session will also incorporate relevant audiovisual religious media, including online exhibits, documentary films, recorded sermons, tv series, performance art, and music.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-27
African and African-American Studies,AAAS,31,"Black Theater, U.S.A.","This course will examine African American playwrights, drama, and theater from 1959 to the present. Further exploration will focus on the impact of civil rights, the Black Arts movement, and cultural aesthetics on the form, style, and content of African American plays. Readings will include plays of Hansberry, Baldwin, Baraka, Kennedy, Childress, Shange, Wolfe, Wilson, Parks and others. Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-31
African and African-American Studies,AAAS,31.10,"Dance Theatre of Harlem Workshop: The Hazel Scott Project, Artist as Activist.","Synthesizing aspects of cultural storytelling, theater, movement, activism and biography, this course is focused on the creation of new performance work. Students will have a rare opportunity to engage with the singular Dance Theatre of Harlem (DTH) during their summer residency at Dartmouth College as they begin original choreography of a performance work inspired by the legendary entertainer Hazel Scott. This course explores all elements of the new dance theater work, from the point of view of the choreographer as storyteller, to the business realities of running a major performance company. During THEA 10.57, students will also create and organize performances of their own movement-based biographical works.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-31-10
African and African-American Studies,AAAS,31.50,Black Theatre Workshop: The August Wilson Experience,"Using legendary playwright, August Wilson’s ten-play cycle of African Americans' experiences throughout American history as our inspiration, this course provides hands-on, experiential learning of acting, script analysis, and theatrical production. With no previous performance, design, or production experience required, students will read Wilson’s plays and related commentary with opportunities to perform selected scenes from the Wilson cycle while exploring possibilities for design and technical elements. In this process-oriented course, students also learn basic acting techniques by strengthening observation and listening skills, risktaking, imagination, improvisation, concentration, exploration of self, voice, and body. Activities include textual analysis of Wilson’s plays and related works as well as documenting and revising performance philosophy and process. While providing a safe space for exploring the roles we play in our daily lives and taking on the roles of others in given or imagined circumstances,students will learn widely accepted theories, practices, and terminology of the actor’s craft in order to facilitate the practice, writing, and discussion of acting and producing Wilson’s plays and others.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-31-50
African and African-American Studies,AAAS,32.01,Race and Gender in American Film,"This course is an introduction to the history of race and gender in American film. These fundamental social constructs in American life have been central to the development of American film narrative from the beginnings of cinema at the turn of the twentieth century. In turn, American films have profoundly shaped the ways that we think about race and gender and racialized and gendered beings. We will analyze the shifting and situational meanings of race and gender throughout the twentieth century, and in particular, how they have been influenced by the forces of history, including wars, economic depressions, and social movements. While we will focus our attention on Hollywood cinema of the “golden age”, the period from the 1920s-1960, we will also spend significant time considering American independent cinema and the post-classical period of filmmaking from the 1960s to the present. In our consideration of race and racialized peoples, we will include African Americans, Native Americans, Asian Americans and Latinos. Our discussions of gender will be expansive to include not just women and femininity, but men and masculinity as well.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-32-01
African and African-American Studies,AAAS,32.02,Black Queer Literature and Film,"This seminar will combine elements of black (trans) feminist theory and black queer theory to examine the written works and films/videos by and about lesbians, bisexual, transgender, gay and queer Black people.  Emphasis will be on tracing the emergence of black literary and cinematic voices from the late twentieth century to the present. We will read poetry, fiction and essays as well as watch films with an eye towards  understanding the historical and theoretical construction of sexual and gender identities, politics and sexual/cultural practices in Black communities. Special attention will be paid to the construction of race, gender and sexual identities in North America, the Caribbean and the United Kingdom.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-32-02
African and African-American Studies,AAAS,32.15,The Making of 21st Century Exhibits: Curating a National Black Theater Museum/Institution,"This course is designed for those interested in theatre and performance, African American studies, history, and culture. Students will study influences on the development of black theater and performance in the USA as well as processes for preserving, curating, and exhibiting culture in institutions, examining how museum concepts intersect and/or collide with representations of black history and culture. In collaboration with the Hattiloo Theatre in Memphis and the DeVos Institute of Arts Management, who are drafting plans for an institution devoted to black theatre practitioners, students will determine and develop content for an interactive venue. They will consider strategies for the use of technology and live exhibits, involving black communities in exhibits and curation, and providing access to diverse communities. Projects and findings will be shared with the institution’s developers and will be considered in their ongoing plans. The course will include a visit to the National Museum of African American History and Culture in Washington.
\f",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-32-15
African and African-American Studies,AAAS,32.50,Black LGBTQ History,"This course is an introduction to the study of Black LGBTQ history in the United States. We will examine a range of primary and secondary source material from the nineteenth century through the late twentieth century. This material includes documentaries, scholarship, newspaper articles, newsletters, diaries and letters. We will look at sexual relationships in the nineteenth century among slaves and free people as well as the cultures of sexual diversity and gender transgression a couple of generations after slavery that gave rise to the jazz age and the Harlem Renaissance. We will also take a look at post-war America, the Civil Rights and Black Power era for their moments of sexual expression and gender variance as well as repression. The course will continue to examine Black experience into the AIDS crisis, gay marriage debates and transgender rights movements.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-32-50
African and African-American Studies,AAAS,33.10,Rituals of Breath: Black Performance and Resistance,"This interdisciplinary course explores the historical legacy of public rituals of extreme violence against African American peoples as both sites of anti-black state and non-state sanctioned disciplinary projects as well as time-spaces of radical resistance. From the slave trade to life and labor under conditions of slavery to post-reconstruction segregation to lynching to police violence, American history can be read through the changing nature of the public torture of Black peoples. At the center of these forms of violence are the control of breath as life force and sign of freedom. This course examines the murder of Eric Garner in 2014 in a police-executed choke hold as a key event that both harkens back to a long history of lynchings and shootings and also to a history of how Black communities have organized around and resisted these forms of violence. Aesthetic representation has been intimately connected to anti-Black racial violence from photographs and postcards of lynchings in which white perpetrators pose alongside dead Black bodies to representations of Emmitt Till’s mutilated body at his funeral in an open casket to video of Rodney King’s beating to the continuing stream of video and images of extra-judicial killings of black citizens. Generations of artists in film, theater, painting/sculpture, dance, and across media have challenged and confronted this aesthetics of violence. This course explores theories of ritual and performance to understand how artists and communities come together as collectives to contextualize and re-present impossible terrors. Artists and political organizers use aesthetics and collective action to transform the horror of being subject to violence at any moment into rituals of potential social transformation. This course then teaches students theories of ritual and performance as ways that communities have historically engaged and confronted histories of anti-Black violences in order to conceive of new future possibilities in the face of disciplinary actions meant to contain and choke black people(s). In some manner, the course links African American experiences of violence and resistance to those of other African peoples around the world. This course is team taught and also draws upon the expertise of various faculty at Dartmouth. This course aims to link theories of Black life and performance to active practices of performance-making, interrogating the intersections between art and scholarship.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-33-10
African and African-American Studies,AAAS,34,Early Black American Literature,"A study of the foundations of Black American literature and thought, from the colonial period through the era of Booker T. Washington. The course will concentrate on the way in which developing Afro-American literature met the challenges posed successively by slavery, abolition, emancipation, and the struggle to determine directions for the twentieth century. Selections will include: Wheatley, Life and Works; Brown, Clotel; Douglass, Narrative; Washington, Up from Slavery; DuBois, Souls of Black Folk; Dunbar, Sport of the Gods; Chestnut, House Behind the Cedars; Harriet Wilson, Our Nig; Johnson, The Autobiography of an Ex-Coloured Man; and poems by F. W. Harper, Paul L. Dunbar and Ann Spencer.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-34
African and African-American Studies,AAAS,35,Modern Black American Literature,"A study of African American literature from the Harlem Renaissance to the present, this course will focus on emerging and diverging traditions of writing by African Americans. We shall also investigate the changing forms and contexts of 'racial representation' in the United States. Works may include those by Hurston, Hughes, Wright, Ellison, Morrison, Schuyler, West, Murray, Gates, Parks.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-35
African and African-American Studies,AAAS,35.50,Introduction to  African American Environmental Thought: The Black Outdoors,"The persistence of black life, and blackness as a way of thinking about the organization of both human and nonhuman forms of life, has been absolutely central to the story of the United States and the Americas more broadly. This course provides an interdisciplinary exploration of the writing of thinkers from across the African diaspora, with special emphasis on literary works and criticism centrally concerned with the intersections of black literary studies and African American environmental thought. We will draw on a range of texts in order to wrestle with some of the key concerns of African American writers from the 19th century through the present. Students will be introducedto a range of methods and approaches to the meta-disciplinary work of black literary studies. By the end of the course, students will be expected to possess a working knowledge of several major themes, figures and moments within the black expressive tradition.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-35-50
African and African-American Studies,AAAS,36.50,Rasta and Rastafari,"This course examines the Rastafari spiritual and political movement from its genesis in Jamaica to its transformation into a global phenomenon. Today’s perception of Rastafari is informed by popular images of marijuana smoking, reggae musicians and a laid-back lifestyle. Consequently, Rasta is often mistaken for practicing a countercultural phenomenon of no global significance, a poster child for the undesirable other, or merely a misguided rebel. Rastafari however, is significantly more profound. Rastafari has offered, cloaked in revolutionary black hermeneutics, some of the sharpest critiques against European imperialism and exploitation. Despite the presence of burgeoning scholarship, Rasta’s global significance remains hidden in the fissures of most historical discourses and behind the haze of marijuana smoke created by popular understandings of the movement. This course employs monographs, scholarly articles, documentary films and primary sources and music to and explore Rastafarian ideologies that among other things, promoted decolonization while decrying racism and imperialism. It is open to students seeking to broaden their knowledge of religions and socio-political movements in the African diaspora.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-36-50
African and African-American Studies,AAAS,39.01,History of Jazz to 1965,"This course examines jazz from its origins to 1965, with special attention given to pivotal figures such as Louis Armstrong, Charlie Parker, Miles Davis and JohnColtrane. Class work includes listening to, analyzing, and discussing jazz recordings and watching jazz films. Students will also attend live jazz performances and read about the artists who brought this music to life, with the goal being to increase understanding, appreciation and enjoyment of this great American art form.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-39-01
African and African-American Studies,AAAS,39.02,History of Jazz since 1959,"This class examines developments in jazz, starting with historic 1959 recordings by Ornette, Coltrane and Miles Davis, followed by soul jazz, modal jazz, jazz funk, the avant-garde, big bands, Afro-Latin jazz and world jazz. Class work includes close listening, discussions, collaborations and in-class presentations. Students also complete required reading, listening and writing assignments and attend jazz performances, resulting in a deeper understanding and appreciation for jazz and improvisation, both worldwide and in our daily lives.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-39-02
African and African-American Studies,AAAS,40,Gender Identities and Politics in Africa,"This interdisciplinary course explores the constructions of gender identities in different African socio-cultural contexts. The emphasis is on contemporary Africa, although we will discuss some of the historical framework of these identities. We will read historical accounts of gender in some pre-colonial African societies, investigate the impact of colonialism, and examine gender in some anti-colonial movements. We will also analyze gender in urban and rural contexts, and address such questions as homosexuality and gay rights.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-40
African and African-American Studies,AAAS,42,"Women, Religion and Social Change in Africa","This introductory, multidisciplinary course examines women's religions ideas, beliefs, concerns, actions, rituals and socio-cultural experiences in African societies and cultures from a comparative, historical and gender perspective. We will look at women's experiences of social change in African religions, the encounter with Islam, slavery, Christianity, and colonialism. We will analyze the articulations of economic and political power or lack of power in religious ideas as we ask questions such as: What are the different antecedents and circumstances in which women exercise or are denied agency, leadership, power and happiness in their communities? Texts will include nonfiction, fiction, and film narratives. Open to all students.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-42
African and African-American Studies,AAAS,44,"Contemporary Africa: Exploring Myths, Engaging Realities","This course focuses on processes, relationships, and experiences that have shaped, and continue to shape, the lives of Africans in many different contexts. These include issues of ecology and food production, age, gender, ethnicity, exchange, colonialism, apartheid, and development. We will then embark on in depth readings of ethnographies that engage these issues and themes. In the processes we will move beyond prevailing stereotypes about Africa, to engage the full complexity of its contemporary realities.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-44
African and African-American Studies,AAAS,46,History of Modern South Africa,"After an initial overview of colonialism in Africa, this course will concentrate on Southern Africa, with special emphasis on the historical development, effects, and implications of the racial situation in the Republic of South Africa. Readings will be drawn from primary and secondary materials and from works of fiction. Illustrative films will be shown, and some opportunity offered to compare the history of race relations in South Africa with that in other African countries and in the United States. Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-46
African and African-American Studies,AAAS,50,"Colonialism, Development, and the Environment in Africa and Asia","This course examines the environmental history of Africa and Asia, focusing on the period of European colonialism and its aftermath. Topics include deforestation and desertification under colonial rule; imperialism and conservation; the consequences of environmental change for rural Africans and Asians; irrigation, big dams and transformations in water landscapes; the development of national parks and their impact on wildlife and humans; the environmentalism of the poor; urbanization and pollution; and global climate change in Africa and Asia. Open to all classes.",http://dartmouth.smartcatalogiq.com/en/current/orc/Departments-Programs-Undergraduate/African-and-African-American-Studies/AAAS-African-and-African-American-Studies/AAAS-50
